bodyPart,equipment,gifUrl,id,name,target
waist,body weight,https://img.livestrong.com/-/ppds/1d878326-f44c-469a-979b-7669ee1b57d1.gif,0001,3/4 sit-up,abs
waist,body weight,https://fitnessprogramer.com/wp-content/uploads/2021/05/Bench-Side-Bend.gif,0002,45Â° side bend,abs
waist,body weight,https://homeworkouts.org/wp-content/uploads/anim-air-bike-crunches.gif,0003,air bike,abs
upper legs,body weight,https://cdn.jefit.com/assets/img/exercises/gifs/464.gif,1512,all fours squad stretch,quads
back,cable,https://i0.wp.com/post.healthline.com/wp-content/uploads/2022/02/400x400_How_To_Do_The_Lat_Pull_Down_Lat_Pull_Down.gif?h=840,0007,alternate lateral pulldown,lats
lower legs,body weight,https://cdn.jefit.com/assets/img/exercises/gifs/289.gif,1368,ankle circles,calves
back,body weight,https://www.garagegymreviews.com/wp-content/uploads/archer-pull-up.gif,3293,archer pull up,lats
chest,body weight,https://hips.hearstapps.com/hmg-prod/images/workouts/2016/03/archerpushup-1457045156.gif,3294,archer push up,pectorals
waist,body weight,https://fitnessprogramer.com/wp-content/uploads/2021/02/Hanging-Knee-Raises.gif,2355,arm slingers hanging bent knee legs,abs
waist,body weight,https://static.voltrx.com/2023/12/1.gif,2333,arm slingers hanging straight legs,abs
upper legs,body weight,https://gymvisual.com/img/p/1/2/9/3/8/12938.gif,3214,arms apart circular toe touch (male),glutes
waist,body weight,https://img.livestrong.com/-/ppds/1d878326-f44c-469a-979b-7669ee1b57d1.gif,3204,arms overhead full sit-up (male),abs
chest,leverage machine,http://d205bpvrqc9yn1.cloudfront.net/0009.gif,0009,assisted chest dip (kneeling),pectorals
waist,assisted,https://fitnessprogramer.com/wp-content/uploads/2021/02/Hanging-Knee-Raises.gif,0011,assisted hanging knee raise,abs
waist,assisted,https://fitnessprogramer.com/wp-content/uploads/2021/10/weighted-hanging-knee-raises.gif,0010,assisted hanging knee raise with throw down,abs
upper legs,assisted,https://cdn.jefit.com/assets/img/exercises/gifs/384.gif,1709,assisted lying glutes stretch,glutes
upper legs,assisted,https://www.vissco.com/wp-content/uploads/animation/sub/supine-piriformis-stretch.gif,1710,assisted lying gluteus and piriformis stretch,glutes
waist,assisted,https://media-cldnry.s-nbcnews.com/image/upload/newscms/2021_33/1763175/modified_leg_lift.gif,0012,assisted lying leg raise with lateral throw down,abs
waist,medicine ball,https://post.healthline.com/wp-content/uploads/2019/10/400x400_Davis_Medicine_Ball_Moves_Russian_Twists.gif,0014,assisted motion russian twist,abs
back,leverage machine,https://www.inspireusafoundation.org/wp-content/uploads/2023/04/close-grip-pull-up.gif,0015,assisted parallel close grip pull-up,lats
upper legs,assisted,https://gymvisual.com/img/p/4/7/4/7/4747.gif,0016,assisted prone hamstring,hamstrings
upper legs,assisted,https://gymvisual.com/img/p/7/4/2/7/7427.gif,1713,assisted prone lying quads stretch,quads
waist,assisted,https://media.giphy.com/media/tIiEgYYTRtdFKbY1Ft/giphy.gif,1714,assisted prone rectus femoris stretch,abs
back,leverage machine,https://gymvisual.com/img/p/1/5/1/6/6/15166.gif,0017,assisted pull-up,lats
chest,assisted,https://fitnessprogramer.com/wp-content/uploads/2022/02/Seated-Chest-Stretch.gif,1716,assisted seated pectoralis major stretch with stability ball,pectorals
upper legs,assisted,https://gymvisual.com/img/p/7/4/2/6/7426.gif,1712,assisted side lying adductor stretch,adductors
upper arms,assisted,https://cdn.jefit.com/assets/img/exercises/gifs/243.gif,0018,assisted standing triceps extension (with towel),triceps
upper arms,leverage machine,https://www.sparkpeople.com/assets/exercises/Assisted-Triceps-Dip-Machine.gif,0019,assisted triceps dip (kneeling),triceps
cardio,body weight,https://fitnessprogramer.com/wp-content/uploads/2021/05/Astride-Jumps.gif,3220,astride jumps (male),cardiovascular system
cardio,body weight,https://i.pinimg.com/originals/ee/f4/89/eef4892f2fff756eadeceafd98fa401d.gif,3636,high knee against wall,cardiovascular system
back,stability ball,https://media1.tenor.com/m/FdSmFsLOItMAAAAC/back-extension-exercise.gif,1314,back extension on exercise ball,spine
back,body weight,https://fitnessprogramer.com/wp-content/uploads/2023/06/Back-Lever.gif,3297,back lever,upper back
upper legs,body weight,https://gymvisual.com/img/p/6/7/0/8/6708.gif,1473,backward jump,quads
upper legs,body weight,https://i0.wp.com/post.healthline.com/wp-content/uploads/2021/02/400x400_Balance_Board_Front_to_Back.gif?h=840,0020,balance board,quads
upper arms,band,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3sHmIlmnDgZsjEElRLVAsC87j_3bgT95kQw&s,0968,band alternating biceps curl,biceps
waist,band,https://gymvisual.com/img/p/5/6/8/2/5682.gif,0969,band alternating v-up,abs
chest,band,https://i.pinimg.com/originals/57/30/31/5730314e8ab933d784e401e6227e296d.gif,1254,band bench press,pectorals
upper legs,band,https://hips.hearstapps.com/hmg-prod/images/workouts/2016/12/bandbentoverrowparallelstance-1480627143.gif,0980,band bent-over hip extension,glutes
waist,band,https://fitnessprogramer.com/wp-content/uploads/2022/01/Resistance-Band-Bicycle-Crunch.gif,0972,band bicycle crunch,abs
upper arms,band,https://gymvisual.com/img/p/2/6/4/5/4/26454.gif,0975,band close-grip push-up,triceps
upper arms,band,https://gymvisual.com/img/p/5/6/8/9/5689.gif,0976,band concentration curl,biceps
back,band,https://www.inspireusafoundation.org/wp-content/uploads/2023/06/close-grip-lat-pulldown-standard-bar-attachment.gif,3117,band fixed back close grip pulldown,lats
shoulders,band,http://d205bpvrqc9yn1.cloudfront.net/0977.gif,0977,band front lateral raise,delts
shoulders,band,http://d205bpvrqc9yn1.cloudfront.net/0978.gif,0978,band front raise,delts
back,band,https://newlife.com.cy/wp-content/uploads/2019/11/09831301-Band-kneeling-one-arm-pulldown_Back_360-360x200.gif,0983,band kneeling one arm pulldown,lats
waist,band,https://media.post.rvohealth.io/wp-content/uploads/sites/2/2019/05/KneelingCrunch.gif,0985,band kneeling twisting crunch,abs
upper legs,band,https://fitnessprogramer.com/wp-content/uploads/2022/04/Band-Lying-Hip-External-Rotation.gif,0984,band lying hip internal rotation,glutes
upper arms,band,https://gymvisual.com/img/p/5/6/9/9/5699.gif,0986,band one arm overhead biceps curl,biceps
upper legs,band,https://i.pinimg.com/originals/b5/7f/76/b57f76fb76b2f768f1e4bcdf18c2bfce.gif,0987,band one arm single leg split squat,quads
back,band,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Alternating-Low-Row-with-Twist.gif,0988,band one arm standing low row,upper back
chest,band,https://fitnessprogramer.com/wp-content/uploads/2022/02/Band-Single-Arm-Shoulder-Press.gif,0989,band one arm twisting chest press,pectorals
back,band,https://fitnessprogramer.com/wp-content/uploads/2022/02/Single-Arm-Twisting-Seated-Cable-Row.gif,0990,band one arm twisting seated row,upper back
upper legs,band,https://gymvisual.com/img/p/1/4/8/6/9/14869.gif,0991,band pull through,glutes
shoulders,band,hhttps://i.pinimg.com/originals/82/cc/c7/82ccc7eab6dcb8dba83869cb6c3da713.gif,0993,band reverse fly,delts
lower arms,band,https://www.inspireusafoundation.org/wp-content/uploads/2023/03/barbell-reverse-wrist-curl.gif,0994,band reverse wrist curl,forearms
upper legs,band,https://i.pinimg.com/originals/74/b9/a2/74b9a22859647ddebd24c2893654b4ef.gif,0996,band seated hip internal rotation,glutes
upper arms,band,https://gymvisual.com/img/p/5/7/1/1/5711.gif,0998,band side triceps extension,triceps
lower legs,band,https://cdn.jefit.com/assets/img/exercises/gifs/287.gif,0999,band single leg calf raise,calves
lower legs,band,https://ccuuubmtdurkmbeufybi.supabase.co/storage/v1/object/public/animations/1000.gif,1000,band single leg reverse calf raise,calves
upper legs,band,https://gymvisual.com/img/p/5/7/1/4/5714.gif,1001,band single leg split squat,quads
upper legs,band,https://gymvisual.com/img/p/2/1/6/6/2/21662.gif,1004,band squat,glutes
upper legs,band,https://cdn.shopify.com/s/files/1/0655/4832/1000/files/Bent-over-row_480x480.gif?v=1693372226,1003,band squat row,glutes
waist,band,https://media.post.rvohealth.io/wp-content/uploads/2020/10/TRX-oblique-rollout.gif,1005,band standing crunch,abs
shoulders,band,http://d205bpvrqc9yn1.cloudfront.net/1022.gif,1022,band standing rear delt row,delts
upper legs,band,https://i.pinimg.com/originals/cb/68/bf/cb68bf1455ef964675556b639877247d.gif,1008,band step-up,glutes
upper legs,band,https://fitnessprogramer.com/wp-content/uploads/2022/01/Stiff-Leg-Deadlift.gif,1009,band stiff leg deadlift,glutes
upper legs,band,https://fitnessprogramer.com/wp-content/uploads/2022/01/Stiff-Leg-Deadlift.gif,1023,band straight back stiff leg deadlift,glutes
shoulders,band,http://d205bpvrqc9yn1.cloudfront.net/1012.gif,1012,band twisting overhead press,delts
lower arms,band,https://newlife.com.cy/wp-content/uploads/2019/11/01251301-Barbell-Wrist-Curl-II_Forearms_360.gif,1016,band wrist curl,forearms
shoulders,band,https://gymvisual.com/img/p/5/7/3/0/5730.gif,1017,band y-raise,delts
upper arms,barbell,https://cdn.jefit.com/assets/img/exercises/gifs/116.gif,0023,barbell alternate biceps curl,biceps
chest,barbell,https://i.pinimg.com/originals/08/60/37/08603700cb6365ab40466f4dd9d49e23.gif,0025,barbell bench press,pectorals
back,barbell,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Bent-Over-Row.gif,0027,barbell bent over row,upper back
cardio,body weight,https://i.pinimg.com/originals/67/08/c5/6708c501592426743f9eebcef961147e.gif,3360,bear crawl,cardiovascular system
upper legs,barbell,https://www.kettlebellkings.com/cdn/shop/articles/Front_Squats.gif?v=1694617488&width=1000,0029,barbell clean-grip front squat,glutes
upper arms,barbell,https://musclemagfitness.com/wp-content/uploads/barbell-close-grip-bench-press-exercise.gif,0030,barbell close-grip bench press,triceps
upper arms,barbell,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Curl.gif,0031,barbell curl,biceps
upper legs,barbell,https://www.kettlebellkings.com/cdn/shop/articles/barbell-deadlift-movement.gif?v=1692228918,0032,barbell deadlift,glutes
chest,barbell,https://i.makeagif.com/media/10-08-2018/_cgaL0.gif,0033,barbell decline bench press,pectorals
upper arms,barbell,https://cdn.jefit.com/assets/img/exercises/gifs/223.gif,0035,barbell decline close grip to skull press,triceps
lower legs,barbell,https://ccuuubmtdurkmbeufybi.supabase.co/storage/v1/object/public/animations/0111.gif,1370,barbell floor calf raise,calves
upper legs,barbell,https://gymvisual.com/img/p/4/7/7/0/4770.gif,0039,barbell front chest squat,glutes
shoulders,barbell,https://i.pinimg.com/originals/73/19/1b/73191b4e67d474530f579396ec9c1070.gif,0041,barbell front raise,delts
chest,barbell,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Pullover.gif,0040,barbell front raise and pullover,pectorals
upper legs,barbell,https://www.journalmenu.com/wp-content/uploads/2017/10/front-squat-gif-front-optimize.gif,0042,barbell front squat,glutes
upper legs,barbell,https://fitnessprogramer.com/wp-content/uploads/2021/02/BARBELL-SQUAT.gif,0043,barbell full squat,glutes
upper legs,barbell,https://www.inspireusafoundation.org/wp-content/uploads/2022/03/barbell-full-squat.gif,1461,barbell full squat (back pov),glutes
upper legs,barbell,https://www.inspireusafoundation.org/wp-content/uploads/2022/03/barbell-full-squat.gif,1462,barbell full squat (side pov),glutes
upper legs,barbell,https://newlife.com.cy/wp-content/uploads/2019/12/01271301-Barbell-Zercher-Squat_Hips_360.gif,1545,barbell full zercher squat,glutes
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/1409.gif,1409,barbell glute bridge,glutes
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/3562.gif,3562,barbell glute bridge two legs on bench (male),glutes
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0044.gif,0044,barbell good morning,hamstrings
chest,barbell,https://newlife.com.cy/wp-content/uploads/2019/11/00451301-Barbell-Guillotine-Bench-Press_Chest_360-360x200.gif,0045,barbell guillotine bench press,pectorals
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0046.gif,0046,barbell hack squat,glutes
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/1436.gif,1436,barbell high bar squat,glutes
upper arms,barbell,https://gymvisual.com/img/p/7/5/2/3/7523.gif,1719,barbell incline close grip bench press,triceps
upper arms,barbell,https://cdn.jefit.com/assets/img/exercises/gifs/1044.gif,0048,barbell incline reverse-grip press,triceps
back,barbell,https://cdn.jefit.com/assets/img/exercises/gifs/1044.gif,0049,barbell incline row,upper back
cardio,body weight,https://www.inspireusafoundation.org/wp-content/uploads/2021/06/bodyweight-squat.gif,3221,half knee bends (male),cardiovascular system
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0051.gif,0051,barbell jefferson squat,glutes
upper arms,barbell,https://newlife.com.cy/wp-content/uploads/2019/11/00521301-Barbell-JM-Bench-Press_Upper-Arms_360.gif,0052,barbell jm bench press,triceps
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0053.gif,0053,barbell jump squat,glutes
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/1410.gif,1410,barbell lateral lunge,glutes
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/1435.gif,1435,barbell low bar squat,glutes
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0054.gif,0054,barbell lunge,glutes
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0058.gif,0058,barbell lying lifting (on hip),glutes
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0059.gif,0059,barbell lying preacher curl,biceps
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0061.gif,0061,barbell lying triceps extension,triceps
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0060.gif,0060,barbell lying triceps extension skull crusher,triceps
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0063.gif,0063,barbell narrow stance squat,glutes
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0065.gif,0065,barbell one arm floor press,triceps
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0066.gif,0066,barbell one arm side deadlift,glutes
shoulders,barbell,https://gymvisual.com/img/p/4/7/9/8/4798.gif,0067,barbell one arm snatch,delts
lower arms,barbell,https://gymvisual.com/img/p/6/6/7/2/6672.gif,1411,barbell palms down wrist curl over a bench,forearms
back,barbell,https://barbend.com/wp-content/uploads/2022/05/pendlay-row-barbend-movement-gif-masters-2.gif,3017,barbell pendlay row,upper back
waist,barbell,https://assets.menshealth.co.uk/main/assets/barbell_full_body_workout__weighted_sit-up.gif?mtime=1517579009,0071,barbell press sit-up,abs
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0072.gif,0072,barbell prone incline curl,biceps
shoulders,barbell,https://gymvisual.com/img/p/4/8/0/7/4807.gif,0075,barbell rear delt raise,delts
shoulders,barbell,https://gymvisual.com/img/p/4/8/0/7/4807.gif,0076,barbell rear delt row,delts
lower arms,barbell,https://newlife.com.cy/wp-content/uploads/2019/11/01101301-Barbell-Standing-Reverse-Grip-Curl_Forearms_360.gif,0079,barbell revers wrist curl v. 2,forearms
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/2187.gif,2187,barbell reverse close-grip bench press,triceps
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0080.gif,0080,barbell reverse curl,biceps
back,barbell,https://fitnessprogramer.com/wp-content/uploads/2021/04/Reverse-Grip-Barbell-Row.gif,0118,barbell reverse grip bent over row,upper back
chest,barbell,https://i.pinimg.com/originals/83/7e/7c/837e7c05437b7806fb0a1e64495c2340.gif,1256,barbell reverse grip decline bench press,pectorals
cardio,body weight,https://i.pinimg.com/originals/b7/6c/d5/b76cd5cff2452b9b3d839d2018863fbb.gif,1160,burpee,cardiovascular system
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/1721.gif,1721,barbell reverse grip skullcrusher,triceps
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0081.gif,0081,barbell reverse preacher curl,biceps
lower arms,barbell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRzKqNwP3RwKGIPx4pbGxnXRJEzyI2MIQM1g&s,0082,barbell reverse wrist curl,forearms
waist,barbell,https://hips.hearstapps.com/hmg-prod/images/bb-rollout-1579873090.gif?crop=1xw:1xh;center,0084,barbell rollerout,abs
lower legs,body weight,https://cdn.jefit.com/assets/img/exercises/gifs/609.gif,1374,box jump down with one leg stabilization,calves
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/0086.gif,0086,barbell seated behind head military press,delts
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/0087.gif,0087,barbell seated bradford rocky press,delts
lower legs,barbell,https://fitnessprogramer.com/wp-content/uploads/2021/09/Barbell-Seated-Calf-Raise.gif,0088,barbell seated calf raise,calves
lower legs,barbell,https://fitnessprogramer.com/wp-content/uploads/2021/09/Barbell-Seated-Calf-Raise.gif,1371,barbell seated calf raise,calves
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/1718.gif,1718,barbell seated close grip behind neck triceps extension,triceps
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0089.gif,0089,barbell seated close-grip concentration curl,biceps
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/0091.gif,0091,barbell seated overhead press,delts
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0092.gif,0092,barbell seated overhead triceps extension,triceps
waist,barbell,https://fitnessprogramer.com/wp-content/uploads/2021/09/Barbell-Seated-Twist.gif,0094,barbell seated twist,abs

shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/0105.gif,0105,barbell standing bradford press,delts
lower legs,barbell,https://ccuuubmtdurkmbeufybi.supabase.co/storage/v1/object/public/animations/0111.gif,1372,barbell standing calf raise,calves
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0106.gif,0106,barbell standing close grip curl,biceps
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/1456.gif,1456,barbell standing close grip military press,delts
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/2414.gif,2414,barbell standing concentration curl,biceps
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/0107.gif,0107,barbell standing front raise over head,delts
lower legs,barbell,https://ccuuubmtdurkmbeufybi.supabase.co/storage/v1/object/public/animations/0111.gif,0108,barbell standing leg calf raise,calves
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0109.gif,0109,barbell standing overhead triceps extension,triceps
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0110.gif,0110,barbell standing reverse grip curl,biceps
lower legs,barbell,https://ccuuubmtdurkmbeufybi.supabase.co/storage/v1/object/public/animations/0111.gif,0111,barbell standing rocking leg calf raise,calves
waist,barbell,http://d205bpvrqc9yn1.cloudfront.net/0112.gif,0112,barbell standing twist,abs
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/1629.gif,1629,barbell standing wide grip biceps curl,biceps
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/1457.gif,1457,barbell standing wide military press,delts
upper arms,barbell,http://d205bpvrqc9yn1.cloudfront.net/0113.gif,0113,barbell standing wide-grip curl,biceps
upper legs,barbell,http://d205bpvrqc9yn1.cloudfront.net/0116.gif,0116,barbell straight leg deadlift,hamstrings
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/3305.gif,3305,barbell thruster,delts
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/0120.gif,0120,barbell upright row,delts
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/0119.gif,0119,barbell upright row v. 2,delts
shoulders,barbell,http://d205bpvrqc9yn1.cloudfront.net/0121.gif,0121,barbell upright row v. 3,delt
upper legs,body weight,https://i.pinimg.com/originals/0a/e1/a6/0ae1a6d74c569f8345835956720c1b94.gif,1494,butterfly yoga pose,adductors
upper legs,cable,https://burnfit.io/wp-content/uploads/2023/11/CABLE_HIP_ABD.gif,0168,cable hip adduction,adductors
upper legs,cable,https://www.inspireusafoundation.org/wp-content/uploads/2023/07/cable-pull-through.gif,0196,cable pull through (with rope),glutes
lower legs,cable,https://musclemagfitness.com/wp-content/uploads/lever-standing-calf-raise-exercise.gif,1375,cable standing calf raise,calves
back,stability ball,https://cdn.jefit.com/assets/img/exercises/gifs/815.gif,1338,exercise ball hug,spine
back,body weight,https://www.garagegymreviews.com/wp-content/uploads/back-extension.gif,0489,hyperextension,spine
back,body weight,https://www.garagegymreviews.com/wp-content/uploads/back-extension.gif,0488,hyperextension (on bench),spine
back,leverage machine,https://musclemagfitness.com/wp-content/uploads/lever-back-extension-exercise.gif,0573,lever back extension,spine
upper legs,leverage machine,https://newlife.com.cy/wp-content/uploads/2019/11/05971301-Lever-Seated-Hip-Abduction_Hips-FIX_360-1.gif,0597,lever seated hip abduction,abductors
upper legs,leverage machine,https://newlife.com.cy/wp-content/uploads/2019/11/05971301-Lever-Seated-Hip-Abduction_Hips-FIX_360-1.gif,0598,lever seated hip adduction,adductors
neck,body weight,https://fitnessprogramer.com/wp-content/uploads/2021/06/Side-Neck-Stretch.gif,1403,neck side stretch,levator scapulae
upper legs,resistance band,https://www.inspireusafoundation.org/wp-content/uploads/2022/01/seated-band-hip-abduction.gif,3006,resistance band seated hip abduction,abductors
back,roller,https://static.lifetimedaily.com/app/uploads/2016/10/19222243/Foam-Roller-Exercises-Upper_Back.gif,2208,roller back stretch,spine
upper legs,body weight,https://www.vissco.com/wp-content/uploads/animation/sub/side-lying-hip-abduction-with-knee-flexed.gif,0710,side hip abduction,abductors
upper legs,body weight,https://www.vissco.com/wp-content/uploads/animation/sub/side-lying-hip-abduction-with-knee-flexed.gif,3667,side lying hip adduction (male),adductors
upper legs,body weight,https://newlife.com.cy/wp-content/uploads/2019/12/17741301-Side-Bridge-Hip-Abduction_Hips_360.gif,1775,side plank hip adduction,adductors
neck,body weight,https://fitnessprogramer.com/wp-content/uploads/2021/06/Side-Push-Neck-Stretch.gif,0716,side push neck stretch,levator scapulae
back,body weight,https://cdn.jefit.com/assets/img/exercises/gifs/832.gif,1364,standing pelvic tilt,spine
lower arms,body weight,https://gymvisual.com/img/p/3/2/2/6/5/32265.gif,1428,wrist circles,forearms
lower arms,weighted,https://media.giphy.com/media/4mgUxlwCBnkwXcAdVu/giphy.gif,0859,wrist rollerer,forearms

